"","variety","variety_ID","clone_ID","clone_num","year","bud_day","flow_day","ver_day","mat_day","notes","BB","FLOW","VER","MAT","review","DiffBudMat","DiffBudFlow","DiffFlowVer","DiffVerMat","DiffBudVer"
"321","Cabernet_Sauvignon","322","322Mpt12","",2009,"27/3/09","26/5/09","28/7/09","25/8/09",NA,2009-03-27,2009-05-26,2009-07-28,2009-08-25,NA,151,60,63,28,123
"322","Cabernet_Sauvignon","322","322Mpt12","",2010,"2/4/2010","31/5/10","2/8/2010","10/9/2010",NA,2010-04-02,2010-05-31,2010-08-02,2010-09-10,NA,161,59,63,39,122
"323","Cabernet_Sauvignon","322","322Mpt12","",2011,"26/3/11","16/5/11","25/7/11","",NA,2011-03-26,2011-05-16,2011-07-25,NA,NA,NA,51,70,NA,121
"324","Cabernet_Sauvignon","322","322Mpt12","",2012,"3/4/2012","31/5/12","1/8/2012","6/9/2012",NA,2012-04-03,2012-05-31,2012-08-01,2012-09-06,NA,156,58,62,36,120
"325","Cabernet_Sauvignon","322","322Mpt13","",1958,"9/4/1958","","","12/9/1958",NA,1958-04-09,NA,NA,1958-09-12,NA,156,NA,NA,NA,NA
"326","Cabernet_Sauvignon","322","322Mpt13","",1959,"2/4/1959","","","7/9/1959",NA,1959-04-02,NA,NA,1959-09-07,NA,158,NA,NA,NA,NA
"327","Cabernet_Sauvignon","322","322Mpt13","",1960,"24/3/60","","","12/9/1960",NA,1960-03-24,NA,NA,1960-09-12,NA,172,NA,NA,NA,NA
"328","Cabernet_Sauvignon","322","322Mpt13","",1961,"","","","2/9/1961",NA,NA,NA,NA,1961-09-02,NA,NA,NA,NA,NA,NA
"329","Cabernet_Sauvignon","322","322Mpt13","",1995,"","","","7/9/1995",NA,NA,NA,NA,1995-09-07,NA,NA,NA,NA,NA,NA
"330","Cabernet_Sauvignon","322","322Mpt14","",1956,"7/4/1956","","","17/9/56",NA,1956-04-07,NA,NA,1956-09-17,NA,163,NA,NA,NA,NA
"331","Cabernet_Sauvignon","322","322Mpt14","",1957,"23/3/57","","","17/9/57",NA,1957-03-23,NA,NA,1957-09-17,NA,178,NA,NA,NA,NA
"332","Cabernet_Sauvignon","322","322Mpt14","",1958,"8/4/1958","","","28/8/58",NA,1958-04-08,NA,NA,1958-08-28,NA,142,NA,NA,NA,NA
"333","Cabernet_Sauvignon","322","322Mpt14","",1959,"","","","19/8/59",NA,NA,NA,NA,1959-08-19,NA,NA,NA,NA,NA,NA
"334","Cabernet_Sauvignon","322","322Mpt14","",1960,"","","","31/8/60",NA,NA,NA,NA,1960-08-31,NA,NA,NA,NA,NA,NA
"335","Cabernet_Sauvignon","322","322Mpt14","",1976,"","","5/8/1976","",NA,NA,NA,1976-08-05,NA,NA,NA,NA,NA,NA,NA
"336","Cabernet_Sauvignon","322","322Mpt14","",1977,"","","12/8/1977","",NA,NA,NA,1977-08-12,NA,NA,NA,NA,NA,NA,NA
"337","Cabernet_Sauvignon","322","322Mpt14","",1978,"","","12/8/1978","",NA,NA,NA,1978-08-12,NA,NA,NA,NA,NA,NA,NA
"338","Cabernet_Sauvignon","322","322Mpt14","",1995,"3/4/1995","28/5/95","11/8/1995","",NA,1995-04-03,1995-05-28,1995-08-11,NA,NA,NA,55,75,NA,130
"339","Cabernet_Sauvignon","322","322Mpt14","",1998,"30/3/98","27/5/98","4/8/1998","10/9/1998",NA,1998-03-30,1998-05-27,1998-08-04,1998-09-10,NA,164,58,69,37,127
"340","Cabernet_Sauvignon","322","322Mpt14","",1999,"23/3/99","28/5/99","2/8/1999","7/9/1999",NA,1999-03-23,1999-05-28,1999-08-02,1999-09-07,NA,168,66,66,36,132
"341","Cabernet_Sauvignon","322","322Mpt14","",2000,"31/3/00","29/5/00","31/7/00","28/8/00",NA,2000-03-31,2000-05-29,2000-07-31,2000-08-28,NA,150,59,63,28,122
"342","Cabernet_Sauvignon","322","322Mpt14","",2010,"3/4/2010","31/5/10","","10/9/2010",NA,2010-04-03,2010-05-31,NA,2010-09-10,NA,160,58,NA,NA,NA
"343","Cabernet_Sauvignon","322","322Mpt14","",2011,"21/3/11","14/5/11","26/7/11","8/9/2011",NA,2011-03-21,2011-05-14,2011-07-26,2011-09-08,NA,171,54,73,44,127
"344","Cabernet_Sauvignon","322","322Mpt14","",2012,"31/3/12","28/5/12","1/8/2012","13/9/12",NA,2012-03-31,2012-05-28,2012-08-01,2012-09-13,NA,166,58,65,43,123
"345","Cabernet_Sauvignon","322","322Mpt15","",1958,"4/4/1958","","","5/9/1958",NA,1958-04-04,NA,NA,1958-09-05,NA,154,NA,NA,NA,NA
