"yrs","gdd","bb"
1,380.156978877048,31
2,370.978916048713,31
3,390.173318014721,31
4,353.707642754099,31
5,372.962024701435,31
6,376.316885650346,31
7,365.138691168153,31
8,401.02174724038,31
9,373.532082548972,31
10,375.222288578408,31
11,388.947168416835,31
12,385.030715926868,31
13,378.420881513183,31
14,371.447922790736,31
15,345.395135493075,31
16,362.516177085326,31
17,378.576784294754,31
18,366.967777929082,31
19,378.104791734984,31
20,374.421831486402,31
21,366.632183230078,31
22,372.867879920465,31
23,341.009400421062,31
24,393.172976765824,31
25,394.039273097207,31
26,406.651542467429,31
27,368.879757724751,31
28,375.29428849892,31
29,374.798763974769,31
30,383.664949665373,31
31,356.435487905048,31
32,394.258436344173,31
33,415.324585821335,31
34,375.745334949696,31
35,381.302119657874,31
36,383.080210573503,31
37,384.707175621498,31
38,392.857927873989,31
39,375.587192373674,31
40,366.931806330978,31
41,402.853600610445,31
42,367.536344916608,31
43,359.042519929516,31
44,360.242978118179,31
45,380.490642044268,31
46,365.914488236714,31
47,370.010199061926,31
48,384.768623204716,31
49,374.958186365338,31
50,362.982579891701,31
51,355.5294017235,31
52,384.825434879103,31
53,380.879705498422,31
54,351.373715677283,31
55,377.864249394279,31
56,357.312197751882,31
57,382.854276103924,31
58,409.899001541422,31
59,385.132805262367,31
60,393.780423162161,31
61,366.905857721083,31
62,407.03309808191,31
63,393.987098665059,31
64,376.59207742929,31
65,374.215164286947,31
66,363.485532894499,31
67,391.027772911526,31
68,369.265364576593,31
69,378.838451599846,31
70,348.856852935504,31
71,372.926004228421,31
72,397.959306410488,31
73,414.294768992166,31
74,376.584190118303,31
75,371.775072633282,31
76,379.919073837184,31
77,378.31880525096,31
78,396.029467776279,31
79,368.186775117969,31
80,396.753849852908,31
81,358.768868514876,31
82,366.178811531341,31
83,387.812696893835,31
84,396.159592259435,31
85,352.170851528971,31
86,395.052302021325,31
87,367.33096304245,31
88,383.257881431877,31
89,352.596582316543,31
90,362.150908268132,31
91,384.094506938731,31
92,376.869034313219,31
93,363.921120915,31
94,360.050813225919,31
95,369.551139175355,31
96,383.260052149388,31
97,376.532036718913,31
98,367.450854557302,31
99,374.73474916926,31
100,360.112760185945,31
